background,attitude_axis,frame,gt_range,gcx,gcy,gbearing_deg,n_boxes,any_hit,top1_hit,target_hit_rank,top1_is_phantom
sky,off,sky_level_000190_r012.0_pos,12.0,485.7,331.9,-15.9,3,0,0,,1
sky,off,sky_level_000191_r012.0_pos,12.0,485.9,331.9,-15.9,13,1,0,2,1
sky,off,sky_level_000192_r012.0_pos,12.0,486.0,331.6,-15.9,19,1,1,1,0
sky,off,sky_level_000193_r012.0_pos,12.0,486.1,331.1,-15.9,17,1,1,1,0
sky,off,sky_level_000194_r012.0_pos,12.0,486.2,330.3,-15.9,15,1,1,1,0
sky,off,sky_level_000195_r012.0_pos,12.0,486.1,329.2,-15.9,18,1,1,1,0
sky,off,sky_level_000196_r012.0_pos,12.0,485.9,328.1,-15.9,14,1,1,1,0
sky,off,sky_level_000197_r012.0_pos,12.0,485.6,327.2,-16.0,5,0,0,,1
sky,off,sky_level_000198_r012.0_pos,12.0,485.4,326.8,-16.0,9,1,1,1,0
sky,off,sky_level_000199_r012.0_pos,12.0,485.3,326.8,-16.0,9,1,1,1,0
sky,off,sky_level_000200_r012.0_pos,12.0,485.4,326.9,-16.0,9,1,1,1,0
sky,off,sky_level_000201_r012.1_pos,12.1,485.6,327.2,-16.0,19,1,1,2,0
sky,off,sky_level_000202_r012.1_pos,12.1,485.7,327.7,-15.9,17,1,1,1,0
sky,off,sky_level_000203_r012.0_pos,12.0,485.9,328.1,-15.9,14,1,1,1,0
sky,off,sky_level_000204_r012.0_pos,12.0,486.1,328.6,-15.9,4,0,0,,1
sky,off,sky_level_000205_r012.0_pos,12.0,486.2,328.9,-15.9,17,1,0,3,1
sky,off,sky_level_000206_r012.0_pos,12.0,486.3,329.4,-15.9,9,1,1,1,0
sky,off,sky_level_000207_r012.0_pos,12.0,486.3,329.9,-15.9,9,1,1,1,0
sky,off,sky_level_000208_r012.0_pos,12.0,486.3,330.3,-15.9,13,1,1,1,0
sky,on,sky_level_000209_r016.0_pos,16.0,640.0,335.4,-0.0,12,1,1,1,0
sky,on,sky_level_000210_r016.0_pos,16.0,639.9,335.4,-0.0,18,1,1,3,0
sky,on,sky_level_000211_r016.0_pos,16.0,639.8,335.2,-0.0,8,1,1,1,0
sky,on,sky_level_000212_r016.0_pos,16.0,639.8,334.9,-0.0,5,1,1,1,0
sky,on,sky_level_000213_r016.0_pos,16.0,639.9,334.7,-0.0,4,1,1,1,0
sky,on,sky_level_000214_r016.0_pos,16.0,640.0,334.6,-0.0,4,1,1,1,0
sky,on,sky_level_000215_r016.0_pos,16.0,640.1,334.4,+0.0,13,1,1,4,0
sky,on,sky_level_000216_r016.0_pos,16.0,640.1,334.0,+0.0,11,1,1,1,0
sky,on,sky_level_000217_r016.0_pos,16.0,640.1,333.8,+0.0,10,1,1,1,0
sky,on,sky_level_000218_r016.0_pos,16.0,640.0,333.7,+0.0,16,1,1,8,0
sky,on,sky_level_000219_r016.0_pos,16.0,640.1,333.8,+0.0,12,1,1,3,0
sky,on,sky_level_000220_r016.0_pos,16.0,640.2,334.4,+0.0,5,1,1,1,0
sky,on,sky_level_000221_r016.0_pos,16.0,640.3,334.9,+0.0,4,1,1,1,0
sky,on,sky_level_000222_r016.0_pos,16.0,640.3,335.1,+0.0,13,1,1,1,0
sky,on,sky_level_000223_r016.0_pos,16.0,640.3,334.8,+0.0,9,1,1,1,0
sky,on,sky_level_000224_r016.0_pos,16.0,640.4,334.1,+0.0,8,1,1,1,0
sky,on,sky_level_000225_r016.0_pos,16.0,640.5,333.3,+0.1,7,1,1,1,0
sky,on,sky_level_000226_r016.0_pos,16.0,640.5,332.5,+0.1,4,1,1,1,0
sky,on,sky_level_000227_r016.0_pos,16.0,640.4,331.6,+0.0,13,1,1,5,0
sky,on,sky_level_000228_r016.0_pos,16.0,640.3,331.1,+0.0,12,1,1,4,0
sky,on,sky_level_000229_r016.0_pos,16.0,640.2,330.9,+0.0,19,1,1,6,0
sky,on,sky_level_000230_r016.0_pos,16.0,640.1,330.9,+0.0,11,1,1,1,0
sky,on,sky_level_000231_r016.0_pos,16.0,640.1,331.3,+0.0,7,1,1,1,0
sky,on,sky_level_000232_r016.0_pos,16.0,640.1,332.0,+0.0,5,1,1,1,0
sky,off,sky_level_000233_r016.0_pos,16.0,485.3,330.0,-16.0,4,1,1,1,0
sky,off,sky_level_000234_r016.0_pos,16.0,485.5,331.0,-16.0,4,1,1,1,0
sky,off,sky_level_000235_r016.0_pos,16.0,485.8,331.9,-15.9,5,1,1,1,0
sky,off,sky_level_000236_r016.0_pos,16.0,486.0,332.3,-15.9,23,1,1,5,0
sky,off,sky_level_000237_r016.0_pos,16.0,486.1,332.6,-15.9,17,1,1,3,0
sky,off,sky_level_000238_r016.0_pos,16.0,486.1,332.6,-15.9,3,0,0,,1
sky,off,sky_level_000239_r016.0_pos,16.0,486.1,332.4,-15.9,4,1,1,1,0
sky,off,sky_level_000240_r016.0_pos,16.0,486.0,332.2,-15.9,4,1,1,1,0
sky,off,sky_level_000241_r016.0_pos,16.0,485.9,331.6,-15.9,4,1,1,1,0
sky,off,sky_level_000242_r016.0_pos,16.0,485.7,330.9,-16.0,14,1,1,4,0
sky,off,sky_level_000243_r016.0_pos,16.0,485.5,330.1,-16.0,11,1,1,1,0
sky,off,sky_level_000244_r016.0_pos,16.0,485.4,329.5,-16.0,9,1,1,2,0
sky,off,sky_level_000245_r016.0_pos,16.0,485.4,329.0,-16.0,14,0,0,,1
sky,off,sky_level_000246_r016.0_pos,16.0,485.3,328.9,-16.0,5,1,1,1,0
sky,off,sky_level_000247_r016.0_pos,16.0,485.2,328.8,-16.0,6,1,1,1,0
sky,off,sky_level_000248_r016.0_pos,16.0,485.2,328.8,-16.0,5,1,1,1,0
sky,off,sky_level_000249_r016.0_pos,16.0,485.3,328.8,-16.0,5,1,1,1,0
sky,off,sky_level_000250_r016.0_pos,16.0,485.3,328.8,-16.0,10,1,1,1,0
sky,off,sky_level_000251_r016.0_pos,16.0,485.3,328.9,-16.0,6,0,0,,1
sky,off,sky_level_000252_r016.0_pos,16.0,485.4,329.0,-16.0,3,0,0,,1
sky,off,sky_level_000253_r016.0_pos,16.0,485.4,329.1,-16.0,4,1,1,1,0
sky,off,sky_level_000254_r016.0_pos,16.0,485.4,329.4,-16.0,12,1,1,3,0
sky,off,sky_level_000255_r016.0_pos,16.0,485.4,329.8,-16.0,9,1,1,1,0
sky,off,sky_level_000256_r016.0_pos,16.0,485.4,330.2,-16.0,13,1,1,5,0
sky,on,sky_level_000257_r020.0_pos,20.0,640.2,335.6,+0.0,12,1,1,2,0
sky,on,sky_level_000258_r020.0_pos,20.0,640.3,335.7,+0.0,7,1,1,1,0
sky,on,sky_level_000259_r020.0_pos,20.0,640.5,335.9,+0.1,2,1,0,2,1
sky,on,sky_level_000260_r020.0_pos,20.0,640.7,336.0,+0.1,4,1,1,1,0
sky,on,sky_level_000261_r020.0_pos,20.0,640.9,336.1,+0.1,4,1,1,1,0
sky,on,sky_level_000262_r020.0_pos,20.0,640.9,336.3,+0.1,14,1,1,4,0
sky,on,sky_level_000263_r020.0_pos,20.0,640.8,336.1,+0.1,21,1,1,7,0
sky,on,sky_level_000264_r020.0_pos,20.0,640.6,335.7,+0.1,12,1,1,1,0
sky,on,sky_level_000265_r020.0_pos,20.0,640.4,335.6,+0.0,10,1,0,2,1
sky,on,sky_level_000266_r020.0_pos,20.0,640.3,335.5,+0.0,9,0,0,,1
sky,on,sky_level_000267_r020.0_pos,20.0,640.2,335.2,+0.0,4,1,1,1,0
sky,on,sky_level_000268_r020.0_pos,20.0,640.2,335.0,+0.0,4,1,1,1,0
sky,on,sky_level_000269_r020.0_pos,20.0,640.2,334.8,+0.0,4,1,1,1,0
sky,on,sky_level_000270_r020.0_pos,20.0,640.2,334.8,+0.0,14,1,1,2,0
sky,on,sky_level_000271_r020.0_pos,20.0,640.3,335.0,+0.0,19,1,1,7,0
sky,on,sky_level_000272_r020.0_pos,20.0,640.4,335.5,+0.0,16,1,0,6,1
sky,on,sky_level_000273_r020.0_pos,20.0,640.5,336.1,+0.1,7,1,1,1,0
sky,on,sky_level_000274_r020.0_pos,20.0,640.5,336.7,+0.1,4,1,1,1,0
sky,on,sky_level_000275_r020.0_pos,20.0,640.3,337.3,+0.0,4,1,1,1,0
sky,on,sky_level_000276_r020.0_pos,20.0,640.0,337.8,-0.0,4,1,1,1,0
sky,on,sky_level_000277_r020.0_pos,20.0,639.6,337.9,-0.0,13,1,1,4,0
sky,on,sky_level_000278_r020.0_pos,20.0,639.3,337.6,-0.1,10,1,1,1,0
sky,on,sky_level_000279_r020.0_pos,20.0,639.1,337.1,-0.1,9,1,1,1,0
sky,off,sky_level_000280_r020.0_pos,20.0,485.2,328.8,-16.0,17,0,0,,1
sky,off,sky_level_000281_r020.0_pos,20.0,485.1,327.9,-16.0,9,1,1,4,0
sky,off,sky_level_000282_r020.0_pos,20.0,485.0,327.3,-16.0,2,1,1,1,0
sky,off,sky_level_000283_r020.0_pos,20.0,484.8,326.9,-16.0,7,1,1,1,0
sky,off,sky_level_000284_r020.0_pos,20.0,484.7,326.3,-16.1,11,1,1,2,0
sky,off,sky_level_000285_r020.0_pos,20.0,484.5,325.5,-16.1,8,1,1,1,0
sky,off,sky_level_000286_r020.0_pos,20.0,484.2,324.5,-16.1,4,0,0,,1
