dataset,frame,gt_range,gbearing_deg,n_boxes,n_target_boxes,n_phantom_boxes,any_hit,top1_raw_hit,deployed_hit,target_hit_rank,loss_reason,score_margin_phantom_minus_target
quad_canonical_r2l_capture,c6_000252_r015.2_pos,15.2,-17.2,32,0,32,0,0,0,,,
quad_canonical_r2l_capture,c6_000253_r014.5_pos,14.5,-6.1,34,0,34,0,0,0,,,
quad_canonical_r2l_capture,c6_000254_r014.0_pos,14.0,+2.8,23,0,23,0,0,0,,,
quad_canonical_r2l_capture,c6_000255_r013.1_pos,13.1,+14.3,27,0,27,0,0,0,,,
quad_canonical_r2l_capture,c6_000256_r012.6_pos,12.6,+24.0,8,0,8,0,0,0,,,
quad_canonical_r2l_capture,c8_000247_r014.8_pos,14.8,-47.3,16,7,9,1,1,0,1,self_mask_rejects_target,-0.259
quad_canonical_r2l_capture,c8_000248_r014.8_pos,14.8,-41.3,9,0,9,0,0,0,,,
quad_canonical_r2l_capture,c8_000249_r014.8_pos,14.8,-34.0,8,0,8,0,0,0,,,
quad_canonical_r2l_capture,c8_000250_r014.8_pos,14.8,-26.7,8,0,8,0,0,0,,,
quad_canonical_r2l_capture,c8_000251_r014.7_pos,14.7,-18.2,13,0,13,0,0,0,,,
quad_canonical_r2l_capture,c8_000252_r014.5_pos,14.5,-11.5,19,0,19,0,0,0,,,
quad_canonical_r2l_capture,c8_000253_r013.9_pos,13.9,-1.5,7,0,7,0,0,0,,,
quad_canonical_r2l_capture,c8_000254_r013.6_pos,13.6,+6.8,29,1,28,1,0,0,24,phantom_outscores,0.538
quad_canonical_r2l_capture,c8_000255_r012.7_pos,12.7,+18.7,25,8,17,1,0,1,5,,
quad_approach,l2r_20260716T064738Z_000207_r006.2_pos,6.2,+48.0,3,0,3,0,0,0,,,
quad_approach,r2l_20260716T064738Z_000231_r011.3_pos,11.3,-42.6,11,0,11,0,0,0,,,
quad_approach,r2l_20260716T064738Z_000232_r010.5_pos,10.5,-35.4,22,0,22,0,0,0,,,
quad_approach,r2l_20260716T064738Z_000233_r009.9_pos,9.9,-30.7,5,0,5,0,0,0,,,
quad_approach,r2l_20260716T064738Z_000234_r009.0_pos,9.0,-27.6,19,0,19,0,0,0,,,
quad_approach,r2l_20260716T064738Z_000235_r008.2_pos,8.2,-25.6,15,0,15,0,0,0,,,
quad_approach,r2l_20260716T064738Z_000236_r007.6_pos,7.6,-24.6,19,9,10,1,0,1,2,,
quad_approach,r2l_20260716T064738Z_000237_r006.7_pos,6.7,-20.7,10,9,1,1,1,1,1,,
quad_approach,r2l_20260716T064738Z_000238_r006.1_pos,6.1,-17.6,18,9,9,1,1,1,1,,
flight_capture,cap1_000169_r009.4_pos,9.4,-42.1,11,0,11,0,0,0,,,
flight_capture,cap1_000170_r007.4_pos,7.4,-47.8,6,0,6,0,0,0,,,
flight_capture,cap2_000149_r015.1_pos,15.1,+14.8,1,0,1,0,0,0,,,
flight_capture,cap2_000150_r013.3_pos,13.3,+16.7,15,4,11,1,0,1,6,,
flight_capture,cap2_000151_r011.3_pos,11.3,+18.3,16,10,6,1,1,1,1,,
flight_capture,cap2_000152_r009.5_pos,9.5,+20.0,18,10,8,1,1,1,1,,
flight_capture,cap2_000153_r007.8_pos,7.8,+21.3,23,10,13,1,1,1,1,,
flight_capture,cap3_000163_r014.7_pos,14.7,-5.0,16,0,16,0,0,0,,,
flight_capture,cap3_000164_r013.0_pos,13.0,+0.9,3,0,3,0,0,0,,,
flight_capture,cap3_000165_r010.9_pos,10.9,+3.6,7,3,4,1,1,1,1,,
flight_capture,cap3_000166_r009.0_pos,9.0,+4.1,6,2,4,1,0,0,2,phantom_outscores,0.161
flight_capture,cap3_000167_r007.3_pos,7.3,-0.7,26,8,18,1,0,1,4,,
