# scripts/wind_driver.py -- APPLIED wind wrench log (world-side disturbance; gt side of the honesty boundary, scoring/audit only)
# world=apriltag entity=x500_mono_cam_0::base_link topic=/world/apriltag/wrench/persistent
# label=gate0 mean_mps=5.0 dir_from_deg=270.0 height_m=6.0 sigma_mps=0.0 tau_s=8.629200809773325 seed=7 rate_hz=20.0
# conditions_provenance=Gate-0 physics probe: synthetic steady wind, NOT a field reading (docs/wind_gate0_prereg.md)
# drag: mass_kg=2.114307692307692 mcoef_per_s=0.15 bcoef=100.0 rho=1.225
# drag_provenance=PX4 defaults + SDF mass, SITL ONLY: EKF2_MCOEF=0.15 1/s and EKF2_BCOEF_X/Y=100 kg/m^2 from src/modules/ekf2/params_drag.yaml; mass 2.114308 kg = x500_base/model.sdf (2.0 + 4*0.016076923) + mono_cam/model.sdf (0.050); rho 1.225 ISA. NOT measured on the real airframe -- do not quote a field number off these.
# columns applied_f_* are what was PUT ON THE WIRE; `published` is whether gz-transport accepted it (ADR-0090 pattern: log what was applied, not what was intended)
t_sim,grid_index,wind_n,wind_e,wind_d,steady_n,steady_e,gust_u,gust_v,v_veh_n,v_veh_e,v_rel_n,v_rel_e,v_rel_mps,a_drag_m_s2,applied_f_n,applied_f_e,applied_f_d,applied_f_world_x,applied_f_world_y,applied_f_world_z,published,publish_error
42.8440,856,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01072,0.02310,0.01072,4.97690,4.97691,0.89825,0.00409,1.89917,0.00000,1.89917,0.00409,-0.00000,1,
42.8920,857,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00909,0.02191,0.00909,4.97809,4.97809,0.89850,0.00347,1.89970,0.00000,1.89970,0.00347,-0.00000,1,
42.9440,858,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00758,0.02137,0.00758,4.97863,4.97864,0.89861,0.00289,1.89995,0.00000,1.89995,0.00289,-0.00000,1,
42.9920,859,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00569,0.02045,0.00569,4.97955,4.97955,0.89881,0.00217,1.90035,0.00000,1.90035,0.00217,-0.00000,1,
43.0440,860,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00465,0.01981,0.00465,4.98019,4.98020,0.89894,0.00177,1.90064,0.00000,1.90064,0.00177,-0.00000,1,
43.0920,861,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00282,0.01896,0.00282,4.98104,4.98104,0.89912,0.00108,1.90102,0.00000,1.90102,0.00108,-0.00000,1,
43.1440,862,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00081,0.01849,0.00081,4.98151,4.98151,0.89922,0.00031,1.90123,0.00000,1.90123,0.00031,-0.00000,1,
43.1920,863,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.00071,0.01810,-0.00071,4.98190,4.98190,0.89930,-0.00027,1.90140,0.00000,1.90140,-0.00027,-0.00000,1,
43.2440,864,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.00224,0.01784,-0.00224,4.98216,4.98216,0.89936,-0.00085,1.90152,0.00000,1.90152,-0.00085,-0.00000,1,
43.2920,865,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.00387,0.01705,-0.00387,4.98295,4.98295,0.89953,-0.00148,1.90187,0.00000,1.90187,-0.00148,-0.00000,1,
43.3440,866,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.00545,0.01694,-0.00545,4.98306,4.98306,0.89955,-0.00208,1.90192,0.00000,1.90192,-0.00208,-0.00000,1,
43.3920,867,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.00694,0.01667,-0.00694,4.98333,4.98334,0.89961,-0.00265,1.90204,0.00000,1.90204,-0.00265,-0.00000,1,
43.4440,868,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.00830,0.01672,-0.00830,4.98328,4.98329,0.89960,-0.00317,1.90202,0.00000,1.90202,-0.00317,-0.00000,1,
43.4920,869,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.00948,0.01709,-0.00948,4.98291,4.98292,0.89952,-0.00362,1.90186,0.00000,1.90186,-0.00362,-0.00000,1,
43.5440,870,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01093,0.01716,-0.01093,4.98284,4.98285,0.89950,-0.00417,1.90182,0.00000,1.90182,-0.00417,-0.00000,1,
43.5920,871,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01205,0.01702,-0.01205,4.98298,4.98299,0.89953,-0.00460,1.90188,0.00000,1.90188,-0.00460,-0.00000,1,
43.6440,872,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01304,0.01717,-0.01304,4.98283,4.98285,0.89950,-0.00498,1.90182,0.00000,1.90182,-0.00498,-0.00000,1,
43.6920,873,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01392,0.01703,-0.01392,4.98297,4.98299,0.89953,-0.00531,1.90188,0.00000,1.90188,-0.00531,-0.00000,1,
43.7440,874,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01469,0.01642,-0.01469,4.98358,4.98360,0.89966,-0.00561,1.90216,0.00000,1.90216,-0.00561,-0.00000,1,
43.7920,875,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01533,0.01641,-0.01533,4.98359,4.98362,0.89967,-0.00585,1.90216,0.00000,1.90216,-0.00585,-0.00000,1,
43.8440,876,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01609,0.01685,-0.01609,4.98315,4.98318,0.89957,-0.00614,1.90197,0.00000,1.90197,-0.00614,-0.00000,1,
